OGid	Method	OGtype	Species	Sp_geneID	GeneID	GO_status	GeneStart	GeneEnd	Strand	Scaffold	ExonCount	ProtLength	RNAseq_Coverage	RNAseq_status	AnnotStatus_1	AnnotStatus_2	AnnotStatus_3
OG_2	BROC	1.1.1.1.2.1	Dban	Dban_jg10184.t1	jg10184	+	15798	19904	+	ctg12703	6	184	113.48806624452021	Good	Annotated	Annotated	Annotated
OG_2	BROC	1.1.1.1.2.1	Dban	Dban_jg16109.t1	jg16109	+	61432	76209	+	ctg4537_MOextra	12	332	369.2949177776274	Good	Annotated	Annotated	Annotated
OG_2	BROC	1.1.1.1.2.1	Dgom	Dgom_jg22128.t1	jg22128	+	435587	469571	-	ctg46	21	544	83.1535134180791	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dcat	Dcat_jg52538.t1	jg52538	+	808267755	808331124	-	Scaffold_2	13	703	301.4910287364484	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dtil	Dtil_jg13149.t1	jg13149	+	208261101	208301358	-	Scaffold_3	13	653	833.7160245423156	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dsil	Dsil_jg5151.t1	jg5151	+	2705105	2709291	+	Scaffold_14804_HRSCAF_18385	3	298	376.7197802197802	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dsil	Dsil_jg21340.t1	jg21340	+	16617	25067	+	Scaffold_2082_HRSCAF_2463	7	303	446.03609467455624	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dsil	Dsil_jg21339.t1	jg21339	+	6440	9772	-	Scaffold_2082_HRSCAF_2463	2	96	302.41956782713083	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dver	Dver_jg19411.t1	jg19411	+	390308	424117	+	ctg580	13	703	420.8958561329823	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dban	Dban_jg12821.t1	jg12821	+	252283	258755	+	ctg836	4	140	311.742737948084	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dban	Dban_jg12228.t1	jg12228	+	312672	327243	-	ctg1885	8	333	597.8534074531603	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dban	Dban_jg5647.t1	jg5647	+	122117	136565	+	ctg1893	5	393	317.44462901439647	Good	Annotated	Annotated	Annotated
OG_3	BROC	1.1.3.1.3.1	Dgom	Dgom_jg14241.t1	jg14241	+	237849	266197	+	ctg943	15	614	454.18071821645265	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dcat	Dcat_jg7772.t1	jg7772	+	555424904	555427524	+	Scaffold_5	3	794	0.11450381679389313	Bad	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dtil	Dtil_jg6081.t1	jg6081	+	388513802	388515131	-	Scaffold_1	2	418	6.8284424379232505	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dtil	Dtil_jg6082.t1	jg6082	+	388515188	388516089	-	Scaffold_1	2	257	6.0	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dsil	Dsil_jg11649.t1	jg11649	+	31514472	31515590	+	Scaffold_15362_HRSCAF_19823	1	373	10.021466905187836	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dsil	Dsil_jg11648.t1	jg11648	+	31513937	31514416	+	Scaffold_15362_HRSCAF_19823	2	113	8.0	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dver	Dver_jg6344.t1	jg6344	+	79152	79787	-	ctg1183	1	212	7.318110236220472	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dver	Dver_jg6345.t1	jg6345	+	79849	81056	-	ctg1183	2	358	7.526926263463132	Good	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dban	Dban_jg19882.t1	jg19882	+	31779	32564	+	ctg5570	1	262	1.7044585987261147	Bad	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dban	Dban_jg19883.t1	jg19883	+	32844	33939	+	ctg5570	2	327	0.5534246575342465	Bad	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dban	Dban_jg19881.t1	jg19881	+	31256	31723	+	ctg5570	2	112	0.8629550321199143	Bad	Annotated	Annotated	Annotated
OG_4	BROC	1.2.2.2.3.1	Dgom	Dgom_jg7660.t1	jg7660	+	55719	57311	+	ctg3527	1	531	0.9158291457286433	Bad	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dcat	Dcat_jg47927.t2	jg47927	+	485412268	485467714	-	Scaffold_2	9	524	209.14956894996934	Good	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dtil	Dtil_jg10624.t1	jg10624	+	59702749	59721757	-	Scaffold_3	6	354	215.7544191919192	Good	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dsil	Dsil_jg7190.t1	jg7190	+	125709836	125724319	+	Scaffold_14804_HRSCAF_18385	6	354	132.87923772699025	Good	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dver	Dver_jg14730.t1	jg14730	+	417374	438443	+	ctg415	6	354	50.71645545588305	Good	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dban	Dban_jg1889.t1	jg1889	+	99164	106939	+	ctg4	4	144	90.1643729903537	Good	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dban	Dban_jg1890.t1	jg1890	+	107068	121721	+	ctg4	3	167	106.31167678973588	Good	Annotated	Annotated	Annotated
OG_5	BROC	1.1.1.1.2.1	Dgom	Dgom_jg11393.t1	jg11393	+	29999	51966	+	ctg3011	6	354	58.88009286657259	Good	Annotated	Annotated	Annotated
OG_6	BROC	1.1.1.1.1.1	Dcat	Dcat_jg47932.t1	jg47932	+	485578236	485592509	+	Scaffold_2	4	139	709.7925453653752	Good	Annotated	Annotated	Annotated
OG_6	BROC	1.1.1.1.1.1	Dtil	Dtil_jg10626.t1	jg10626	+	59785598	59794626	+	Scaffold_3	4	105	779.9505981391227	Good	Annotated	Annotated	Annotated
OG_6	BROC	1.1.1.1.1.1	Dsil	Dsil_jg7188.t1	jg7188	+	125656009	125663868	-	Scaffold_14804_HRSCAF_18385	5	128	270.8149891843746	Good	Annotated	Annotated	Annotated
OG_6	BROC	1.1.1.1.1.1	Dver	Dver_jg14728.t1	jg14728	+	351460	365344	-	ctg415	6	123	273.76022760011523	Good	Annotated	Annotated	Annotated
OG_6	BROC	1.1.1.1.1.1	Dban	Dban_jg1887.t1	jg1887	+	32175	41662	-	ctg4	4	139	463.0025297775904	Good	Annotated	Annotated	Annotated
OG_6	BROC	1.1.1.1.1.1	Dgom	Dgom_jg3122.t1	jg3122	+	71336	82770	-	ctg2382	4	139	438.326832254679	Good	Annotated	Annotated	Annotated
OG_7	BROC	1.1.1.1.1.1	Dcat	Dcat_jg47921.t1	jg47921	-	484808782	484817642	+	Scaffold_2	2	212	8.31568848758465	Good	Annotated	CD_NA	CDCoil_NA
OG_7	BROC	1.1.1.1.1.1	Dtil	Dtil_jg10619.t1	jg10619	-	59357024	59362892	+	Scaffold_3	3	252	24.3846284935242	Good	Annotated	CD_NA	CDCoil_NA
OG_7	BROC	1.1.1.1.1.1	Dsil	Dsil_jg7196.t1	jg7196	-	126047428	126053682	-	Scaffold_14804_HRSCAF_18385	3	193	5.579948832747042	Good	Annotated	CD_NA	CDCoil_NA
OG_7	BROC	1.1.1.1.1.1	Dver	Dver_jg22324.t1	jg22324	-	142683	145950	+	ctg2003	2	252	50.088766452402815	Good	Annotated	CD_NA	CDCoil_NA
OG_7	BROC	1.1.1.1.1.1	Dban	Dban_jg1895.t1	jg1895	-	464480	474907	-	ctg4	3	134	47.07307950513091	Good	Norm_NA	CD_NA	CDCoil_NA
OG_7	BROC	1.1.1.1.1.1	Dgom	Dgom_jg2722.t1	jg2722	-	121055	129546	+	ctg2195_MOr1	3	268	0.1704157343069132	Bad	Annotated	CD_NA	CDCoil_NA
OG_8	BROC	1.1.0.1.1.1	Dcat	Dcat_jg37562.t1	jg37562	+	400992684	400993475	-	Scaffold_4	1	264	0.0	Bad	Annotated	Annotated	Annotated
OG_8	BROC	1.1.0.1.1.1	Dtil	Dtil_jg19476.t1	jg19476	+	10293006	10293653	+	Scaffold_2	1	216	22.65996908809892	Good	Annotated	Annotated	Annotated
OG_8	BROC	1.1.0.1.1.1	Dver	Dver_jg3709.t1	jg3709	-	1263129	1265207	-	ctg280	2	250	144.28440808469682	Good	Annotated	Annotated	Annotated
OG_8	BROC	1.1.0.1.1.1	Dban	Dban_jg13747.t1	jg13747	-	82480	82953	-	ctg6	1	158	73.44186046511628	Good	Annotated	Annotated	Annotated
OG_8	BROC	1.1.0.1.1.1	Dgom	Dgom_jg24720.t1	jg24720	+	241450	242097	-	ctg242	1	216	0.0	Bad	Annotated	Annotated	Annotated
OG_9	BROC	1.1.1.1.1.0	Dcat	Dcat_jg10374.t1	jg10374	-	950853	959525	+	ctg901_VPextra	4	132	387.6518680811808	Good	Norm_NA	CD_NA	CDCoil_NA
OG_9	BROC	1.1.1.1.1.0	Dtil	Dtil_jg8243.t1	jg8243	-	78610352	78619227	+	Scaffold_5_Vmt	5	126	434.0470985915493	Good	Norm_NA	CD_NA	CDCoil_NA
OG_9	BROC	1.1.1.1.1.0	Dsil	Dsil_jg19390.t1	jg19390	-	65146169	65154133	-	Scaffold_15272_HRSCAF_19649	4	132	5.458563535911602	Good	Annotated	Annotated	CDCoil_NA
OG_9	BROC	1.1.1.1.1.0	Dver	Dver_jg6393.t1	jg6393	-	175703	183477	-	ctg56	4	105	26.064702855672756	Good	Norm_NA	CD_NA	CDCoil_NA
OG_9	BROC	1.1.1.1.1.0	Dban	Dban_jg5591.t1	jg5591	-	885794	894193	+	ctg7	5	129	306.99654720800095	Good	Norm_NA	CD_NA	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dcat	Dcat_jg10376.t1	jg10376	-	986501	999273	+	ctg901_VPextra	6	196	428.6132947071719	Good	Annotated	Annotated	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dtil	Dtil_jg8245.t1	jg8245	-	78639810	78651587	+	Scaffold_5_Vmt	6	226	766.6022756219751	Good	Annotated	Annotated	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dsil	Dsil_jg19392.t1	jg19392	-	65176413	65181619	+	Scaffold_15272_HRSCAF_19649	4	145	325.19247022666156	Good	Annotated	Annotated	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dver	Dver_jg6389.t1	jg6389	-	151201	152717	-	ctg56	3	110	34.33509234828496	Good	Annotated	Annotated	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dver	Dver_jg6390.t1	jg6390	-	159804	162378	-	ctg56	3	100	7.2466977466977465	Good	Norm_NA	CD_NA	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dban	Dban_jg5593.t1	jg5593	-	919035	931095	+	ctg7	4	171	210.9402985074627	Good	Annotated	Annotated	CDCoil_NA
OG_10	BROC	1.1.1.2.1.1	Dgom	Dgom_jg17848.t2	jg17848	-	44160	86293	-	ctg2622	7	259	98.38613438397455	Good	Annotated	CD_NA	CDCoil_NA
OG_11	BROC	1.1.1.1.1.1	Dcat	Dcat_jg10373.t1	jg10373	+	848133	918071	+	ctg901_VPextra	5	252	63.88993108181532	Good	Annotated	Annotated	Annotated
OG_11	BROC	1.1.1.1.1.1	Dtil	Dtil_jg8242.t1	jg8242	+	78266305	78579880	+	Scaffold_5_Vmt	6	439	153.83923782189268	Good	Annotated	Annotated	Annotated
OG_11	BROC	1.1.1.1.1.1	Dsil	Dsil_jg19389.t1	jg19389	+	65068015	65131173	+	Scaffold_15272_HRSCAF_19649	6	299	84.63152728078786	Good	Annotated	Annotated	Annotated
OG_11	BROC	1.1.1.1.1.1	Dver	Dver_jg6394.t1	jg6394	+	210552	255070	-	ctg56	6	310	19.815041106967968	Good	Annotated	Annotated	Annotated
OG_11	BROC	1.1.1.1.1.1	Dban	Dban_jg5590.t1	jg5590	+	819396	861648	+	ctg7	5	252	66.72545678311086	Good	Annotated	Annotated	Annotated
OG_11	BROC	1.1.1.1.1.1	Dgom	Dgom_jg16695.t1	jg16695	+	10232	43465	-	ctg1827_MOextra	4	216	17.310655071766014	Good	Annotated	Annotated	Annotated
OG_12	BROC	1.0.1.1.1.1	Dcat	Dcat_jg10372.t1	jg10372	+	462913	463473	+	ctg901_VPextra	1	187	57.49107142857143	Good	Annotated	Annotated	Annotated
OG_12	BROC	1.0.1.1.1.1	Dsil	Dsil_jg19388.t1	jg19388	+	64809886	64810392	+	Scaffold_15272_HRSCAF_19649	1	169	95.8201581027668	Good	Annotated	Annotated	Annotated
OG_12	BROC	1.0.1.1.1.1	Dver	Dver_jg6395.t1	jg6395	+	507834	508340	-	ctg56	1	169	13.737154150197629	Good	Annotated	Annotated	Annotated
OG_12	BROC	1.0.1.1.1.1	Dban	Dban_jg5589.t1	jg5589	+	555925	557278	+	ctg7	2	232	65.70953436807095	Good	Annotated	Annotated	Annotated
OG_12	BROC	1.0.1.1.1.1	Dgom	Dgom_jg4182.t1	jg4182	+	62339	62986	+	ctg3994_MOextra	1	216	12.301391035548686	Good	Annotated	Annotated	Annotated
OG_13	BROC	1.0.1.1.1.1	Dcat	Dcat_jg10379.t1	jg10379	-	1059964	1069590	+	ctg901_VPextra	4	153	207.2713484313318	Good	Norm_NA	CD_NA	CDCoil_NA
OG_13	BROC	1.0.1.1.1.1	Dsil	Dsil_jg19394.t1	jg19394	-	65240112	65248851	+	Scaffold_15272_HRSCAF_19649	4	168	4.9725369035358735	Bad	Norm_NA	CD_NA	CDCoil_NA
OG_13	BROC	1.0.1.1.1.1	Dver	Dver_jg6387.t1	jg6387	-	49915	108892	-	ctg56	12	574	4.820726723977144	Bad	Annotated	CD_NA	CDCoil_NA
OG_13	BROC	1.0.1.1.1.1	Dban	Dban_jg5597.t1	jg5597	-	990326	999191	+	ctg7	4	158	17.60225606316977	Good	Norm_NA	CD_NA	CDCoil_NA
OG_13	BROC	1.0.1.1.1.1	Dgom	Dgom_jg3109.t1	jg3109	-	15483	24101	+	ctg3068_MOextra	4	165	2.7783708517057324	Bad	Norm_NA	CD_NA	CDCoil_NA
OG_14	BROC	1.1.1.0.1.1	Dcat	Dcat_jg10377.t1	jg10377	-	1021288	1040619	+	ctg901_VPextra	3	338	622.9866535616368	Good	Norm_NA	CD_NA	CDCoil_NA
OG_14	BROC	1.1.1.0.1.1	Dtil	Dtil_jg8246.t1	jg8246	-	78676747	78685632	+	Scaffold_5_Vmt	4	209	926.0428812605514	Good	Norm_NA	CD_NA	CDCoil_NA
OG_14	BROC	1.1.1.0.1.1	Dsil	Dsil_jg19393.t1	jg19393	+	65203870	65233166	+	Scaffold_15272_HRSCAF_19649	5	1024	21.49924904423812	Good	Annotated	Annotated	Annotated
OG_14	BROC	1.1.1.0.1.1	Dban	Dban_jg5594.t1	jg5594	-	957494	966743	+	ctg7	4	258	882.9590225970376	Good	Norm_NA	CD_NA	CDCoil_NA
OG_14	BROC	1.1.1.0.1.1	Dgom	Dgom_jg17847.t1	jg17847	-	9813	20439	-	ctg2622	5	148	75.86373047242613	Good	Norm_NA	CD_NA	CDCoil_NA
OG_15	BROC	1.1.0.1.1.1	Dcat	Dcat_jg10381.t1	jg10381	-	1102521	1113661	+	ctg901_VPextra	3	122	1491.935368043088	Good	Norm_NA	CD_NA	CDCoil_NA
OG_15	BROC	1.1.0.1.1.1	Dtil	Dtil_jg8250.t1	jg8250	-	78757377	78763889	+	Scaffold_5_Vmt	3	119	1029.6841216216217	Good	Norm_NA	CD_NA	CDCoil_NA
OG_15	BROC	1.1.0.1.1.1	Dver	Dver_jg6387.t1	jg6387	-	49915	108892	-	ctg56	12	574	4.820726723977144	Bad	Annotated	CD_NA	CDCoil_NA
OG_15	BROC	1.1.0.1.1.1	Dban	Dban_jg5600.t1	jg5600	-	1028136	1036417	+	ctg7	3	112	804.4423378818983	Good	Annotated	CD_NA	CDCoil_NA
OG_15	BROC	1.1.0.1.1.1	Dgom	Dgom_jg3111.t1	jg3111	-	53319	61240	+	ctg3068_MOextra	3	98	209.46660775154652	Good	Norm_NA	CD_NA	CDCoil_NA
OG_16	BROC	1.1.2.1.2.1	Dcat	Dcat_jg10380.t1	jg10380	+	1076880	1090867	+	ctg901_VPextra	3	409	488.4186744834489	Good	Annotated	Annotated	Annotated
OG_16	BROC	1.1.2.1.2.1	Dtil	Dtil_jg8249.t1	jg8249	-	78736362	78745051	+	Scaffold_5_Vmt	5	288	456.156749913684	Good	Annotated	Annotated	Annotated
OG_16	BROC	1.1.2.1.2.1	Dsil	Dsil_jg19395.t1	jg19395	+	65267407	65270502	+	Scaffold_15272_HRSCAF_19649	2	288	28.107269789983846	Good	Annotated	Annotated	Annotated
OG_16	BROC	1.1.2.1.2.1	Dsil	Dsil_jg19396.t1	jg19396	-	65270547	65280208	+	Scaffold_15272_HRSCAF_19649	3	196	10.549839561122036	Good	Annotated	CD_NA	CDCoil_NA
OG_16	BROC	1.1.2.1.2.1	Dver	Dver_jg6387.t1	jg6387	-	49915	108892	-	ctg56	12	574	4.820726723977144	Bad	Annotated	CD_NA	CDCoil_NA
OG_16	BROC	1.1.2.1.2.1	Dban	Dban_jg5598.t1	jg5598	-	1009869	1012284	+	ctg7	2	76	356.9262939958592	Good	Norm_NA	CD_NA	CDCoil_NA
OG_16	BROC	1.1.2.1.2.1	Dban	Dban_jg5599.t1	jg5599	-	1012480	1017515	+	ctg7	4	168	522.517775571003	Good	Norm_NA	CD_NA	CDCoil_NA
OG_16	BROC	1.1.2.1.2.1	Dgom	Dgom_jg3110.t1	jg3110	-	35137	41047	+	ctg3068_MOextra	5	238	76.65769881556683	Good	Norm_NA	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dcat	Dcat_jg10378.t1	jg10378	-	1042779	1054150	+	ctg901_VPextra	3	661	224.14985489402866	Good	Annotated	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dtil	Dtil_jg8247.t1	jg8247	-	78686577	78705079	+	Scaffold_5_Vmt	3	281	211.9656793860123	Good	Annotated	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dtil	Dtil_jg8248.t1	jg8248	-	78705682	78709792	+	Scaffold_5_Vmt	2	110	274.39099756690996	Good	Norm_NA	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dsil	Dsil_jg19393.t1	jg19393	+	65203870	65233166	+	Scaffold_15272_HRSCAF_19649	5	1024	21.49924904423812	Good	Annotated	Annotated	Annotated
OG_17	BROC	1.2.1.2.2.1	Dver	Dver_jg6388.t1	jg6388	-	109163	126193	-	ctg56	4	205	5.8388138578978275	Good	Annotated	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dver	Dver_jg6387.t1	jg6387	-	49915	108892	-	ctg56	12	574	4.820726723977144	Bad	Annotated	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dban	Dban_jg5595.t1	jg5595	-	970263	979686	+	ctg7	3	155	11.329937387243978	Good	Norm_NA	CD_NA	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dban	Dban_jg5596.t1	jg5596	-	979716	984933	+	ctg7	5	301	20.40157178455051	Good	Annotated	Annotated	CDCoil_NA
OG_17	BROC	1.2.1.2.2.1	Dgom	Dgom_jg3108.t1	jg3108	-	2795	4234	+	ctg3068_MOextra	4	290	3.6643502432244612	Bad	Annotated	CD_NA	CDCoil_NA
OG_18	BROC	1.1.1.1.1.0	Dcat	Dcat_jg50530.t1	jg50530	-	663761516	663769295	+	Scaffold_2	2	108	0.052320349659339245	Bad	Norm_NA	CD_NA	CDCoil_NA
OG_18	BROC	1.1.1.1.1.0	Dtil	Dtil_jg11929.t1	jg11929	-	136886587	136914969	+	Scaffold_3	3	99	119.98372207737299	Good	Norm_NA	CD_NA	CDCoil_NA
OG_18	BROC	1.1.1.1.1.0	Dsil	Dsil_jg6132.t1	jg6132	-	61470059	61513884	-	Scaffold_14804_HRSCAF_18385	3	91	212.3385282373075	Good	Norm_NA	CD_NA	CDCoil_NA
OG_18	BROC	1.1.1.1.1.0	Dver	Dver_jg3260.t1	jg3260	-	787886	820194	-	ctg28_MOextra	3	99	945.5791444843383	Good	Norm_NA	CD_NA	CDCoil_NA
OG_18	BROC	1.1.1.1.1.0	Dban	Dban_jg23358.t1	jg23358	-	593680	623803	-	ctg8	3	99	525.3478737177572	Good	Norm_NA	CD_NA	CDCoil_NA
OG_19	BROC	1.2.2.3.1.3	Dcat	Dcat_jg34818.t1	jg34818	+	267389376	267641354	-	Scaffold_4	36	2582	72.18957210550127	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dtil	Dtil_jg20813.t1	jg20813	+	78240610	78248381	-	Scaffold_2	7	298	194.2505469051602	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dtil	Dtil_jg20814.t1	jg20814	+	78248423	78267999	-	Scaffold_2	9	918	140.51537597057623	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dsil	Dsil_jg17036.t1	jg17036	+	115528674	115589459	-	Scaffold_14178_HRSCAF_16784	36	2219	28.414246935921692	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dsil	Dsil_jg362.t1	jg362	+	1544	5379	-	Scaffold_12477_HRSCAF_14381	5	164	14.436505867014342	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dver	Dver_jg10218.t1	jg10218	-	310609	311931	+	ctg447	2	404	23.103630862329805	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dver	Dver_jg10219.t1	jg10219	+	312215	331705	+	ctg447	8	478	31.772447408927654	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dver	Dver_jg10220.t1	jg10220	+	331747	346134	+	ctg447	7	334	29.22409119343852	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dban	Dban_jg10029.t1	jg10029	+	430550	458243	-	ctg11	14	1272	57.89759144910266	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dgom	Dgom_jg8724.t1	jg8724	+	346874	363384	-	ctg22	7	327	12.567292549969716	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dgom	Dgom_jg8725.t1	jg8725	+	363426	383428	-	ctg22	8	813	11.105939406059393	Good	Annotated	Annotated	Annotated
OG_19	BROC	1.2.2.3.1.3	Dgom	Dgom_jg8726.t1	jg8726	-	383491	384033	-	ctg22	1	181	9.62730627306273	Good	Annotated	CD_NA	CDCoil_NA
OG_20	BROC	1.1.2.1.2.1	Dcat	Dcat_jg34818.t1	jg34818	+	267389376	267641354	-	Scaffold_4	36	2582	72.18957210550127	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dtil	Dtil_jg20815.t1	jg20815	+	78268149	78309418	-	Scaffold_2	23	1079	83.15760013569508	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dsil	Dsil_jg17036.t1	jg17036	+	115528674	115589459	-	Scaffold_14178_HRSCAF_16784	36	2219	28.414246935921692	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dsil	Dsil_jg362.t1	jg362	+	1544	5379	-	Scaffold_12477_HRSCAF_14381	5	164	14.436505867014342	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dver	Dver_jg10217.t1	jg10217	+	264780	310550	+	ctg447	24	1171	22.43714223290365	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dban	Dban_jg10030.t1	jg10030	+	458258	465823	-	ctg11	7	524	34.496100462656976	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dban	Dban_jg10031.t1	jg10031	+	468541	502844	-	ctg11	18	642	15.317873072326035	Good	Annotated	Annotated	Annotated
OG_20	BROC	1.1.2.1.2.1	Dgom	Dgom_jg8727.t1	jg8727	+	384129	426802	-	ctg22	24	1154	3.705715557846882	Bad	Annotated	Annotated	Annotated
OG_21	BROC	1.1.0.1.1.1	Dcat	Dcat_jg28279.t1	jg28279	-	406671376	406687869	+	Scaffold_3	3	124	105.05687261262354	Good	Norm_NA	CD_NA	CDCoil_NA
OG_21	BROC	1.1.0.1.1.1	Dtil	Dtil_jg16075.t1	jg16075	-	12088083	12098390	-	Scaffold_4	4	193	2458.9538177937325	Good	Annotated	CD_NA	CDCoil_NA
