  score_SW    perc_divg    perc_del    perc_ins  sequid                         begin     end  orient    name                default_repclass               overlapping      bp_naive    bp_algor
       392         15.7         2.2         1.1  DsilchrX                       15478   15567  +         ltr-1_family-701    LTR/Gypsy                      False                  90          90
      2346         10.6         4.8         3.8  DsilchrX                       15571   15923  C         rnd-5_family-335    __ClassII_DNA_TcMar_unknown    False                 353         353
       355         14.5         0           1.6  DsilchrX                       15924   15986  +         rnd-5_family-1213   __ClassI_LTR_Gypsy             True                   63          60
       616          5.3         0           0    DsilchrX                       15984   16059  +         rnd-1_family-430    __ClassII_DNA_hAT_MITE         True                   76          14
      2284          8.8         8.1         1.7  DsilchrX                       15998   16380  C         rnd-1_family-293    __ClassII_MITE                 False                 383         383
       923          9.3         0           8.6  DsilchrX                       16392   16556  +         rnd-4_family-1166   DNA/hAT-hAT5                   False                 165         165
       723         20.9        14           2.9  DsilchrX                       16559   16642  +         ltr-1_family-701    LTR/Gypsy                      False                  84          84
       869         13.4         6.3         1    DsilchrX                       16643   16831  +         rnd-5_family-6768   __ClassI_LTR                   False                 189         189
       723         20.9        14           2.9  DsilchrX                       16832   16843  +         ltr-1_family-701    LTR/Gypsy                      False                  12          12
       545         23.6         0           0    DsilchrX                       17245   17350  +         rnd-6_family-2139   DNA/CMC-Chapaev-3              False                 106         106
       963         10.3         6.8         1.1  DsilchrX                       18120   18295  +         rnd-6_family-14789  __ClassI_LTR                   False                 176         176
       304         15.6         1          13    DsilchrX                       18934   19036  C         rnd-5_family-857    DNA/Merlin                     False                 103         103
      1323         30.6         2.7         3.6  DsilchrX                       19403   20148  C         rnd-5_family-857    DNA/Merlin                     False                 746         746
       434          7.6         0           0    DsilchrX                       20145   20210  C         rnd-5_family-2574   LINE/Penelope                  True                   66          62
       265         23           3.5        12.4  DsilchrX                       20219   20332  C         rnd-5_family-857    DNA/Merlin                     False                 114         114
       675         26.8         2.9         1.9  DsilchrX                       20336   20544  +         rnd-6_family-2176   DNA                            False                 209         209
       387         10.9         6.2         1.5  DsilchrX                       21054   21067  +         rnd-6_family-2177   DNA/TcMar-Tc1                  False                  14          14
       299         14.6         0           7.3  DsilchrX                       21068   21126  +         rnd-6_family-11074  __ClassI_LTR_Gypsy             False                  59          59
       307         15.1         1.9         0    DsilchrX                       21486   21538  C         rnd-1_family-557    __ClassII_MITE                 False                  53          21
       286         17.2         1.7         0    DsilchrX                       21490   21547  +         rnd-5_family-1099   DNA/hAT-hAT19                  True                   58           0
       325         12.3        36.7         0.5  DsilchrX                       21507   21653  +         rnd-4_family-1184   __ClassII_DNA_hAT_MITE         True                  147         135
      1414          4.2         0.6         3.3  DsilchrX                       21642   21653  +         rnd-1_family-321    __ClassII_MITE                 False                  12          12
       768         18.6         7.8         5    DsilchrX                       21654   21908  +         rnd-6_family-336    __ClassI_LTR_Gypsy             True                  255         174
      1516          7.6        10.4         1.1  DsilchrX                       21828   22067  C         rnd-1_family-1343   __ClassII_MITE                 True                  240         124
      3347         11.8         3.6         0.2  DsilchrX                       21952   22485  C         rnd-5_family-6462   LINE/Penelope                  False                 534         534
       348          6.7        16.7         0    DsilchrX                       22488   22547  +         rnd-1_family-464    __ClassII_DNA_TcMar_MITE       False                  60          60
      1708          6.7         8.7         0.7  DsilchrX                       22549   22802  +         rnd-1_family-744    __ClassII_DNA_hAT_MITE         True                  254          69
      1714         10.8         7.5         3.5  DsilchrX                       22618   22924  +         rnd-5_family-1929   DNA/hAT-hAT19                  False                 307         307
       973          8.6         1.9         7.1  DsilchrX                       22931   23092  C         rnd-5_family-1283   DNA/hAT-Tip100                 False                 162         160
       238         13.6        22.7         0    DsilchrX                       22972   22987  +         ltr-1_family-729    LTR/Gypsy                      True                   16           0
      1878          9.5         0.4         0.7  DsilchrX                       23091   23367  +         rnd-5_family-1929   DNA/hAT-hAT19                  False                 277         277
     10263          8.9         2.9         2.4  DsilchrX                       23752   25343  +         rnd-1_family-241    DNA/TcMar-Tc1                  False                1592        1592
      2475          2.4         1           0.3  DsilchrX                       25590   25888  +         rnd-1_family-5      __ClassI_nLTR_LINE_RTE         False                 299         299
       263         20.7         3.3         5.6  DsilchrX                       25812   25903  C         ltr-1_family-685    LTR/Gypsy                      True                   92           1
      4795          1.4         0           0.9  DsilchrX                       25890   26447  +         rnd-1_family-451    DNA/TcMar-Tc4                  False                 558         558
       232         26.3         9.4         1    DsilchrX                       27955   27966  +         rnd-6_family-5451   RC/Helitron                    False                  12          12
       275         17.8         0          10.3  DsilchrX                       27967   28041  +         rnd-5_family-4943   DNA/hAT-Tip100                 False                  75          75
       943          5.8         2           4.9  DsilchrX                       28151   28296  C         rnd-1_family-108    DNA/hAT-Tip100                 False                 146         146
       264         13.6        19.1         2.5  DsilchrX                       28238   28251  +         rnd-6_family-9591   __ClassII_DNA_hAT_nMITE        True                   14           0
       291         11.6         1.9         3.8  DsilchrX                       28252   28305  C         rnd-1_family-182    __ClassII_DNA_hAT_MITE         False                  54           9
      2115         13.9         2.4         0    DsilchrX                       28406   28737  C         rnd-6_family-2212   LTR/Gypsy                      False                 332         332
      1372          6.6         7.6         0    DsilchrX                       28710   28906  C         rnd-5_family-3840   LTR/Gypsy                      True                  197         169
      4280          5.9         0           0    DsilchrX                       28910   29432  C         rnd-1_family-775    __ClassI_LTR_Gypsy             False                 523         523
      1228          6.7        10.6         0    DsilchrX                       29438   29617  C         rnd-1_family-681    __ClassI_LTR_Gypsy             False                 180         180
      1854          8.9         0.4         0    DsilchrX                       29783   30030  +         rnd-6_family-1070   DNA/hAT-Tag1                   False                 248         248
       924         13.5         4           0.7  DsilchrX                       30027   30042  +         rnd-2_family-1      __ClassI_LTR_ERV               True                   16          12
      1067          6.8         0           0    DsilchrX                       30043   30175  +         rnd-1_family-24     __ClassII_DNA_hAT_MITE         False                 133         133
      1722          2.9         0           0    DsilchrX                       30178   30383  +         rnd-6_family-1070   DNA/hAT-Tag1                   False                 206         206
       514         25.5         2.8         4.6  DsilchrX                       30384   30560  +         rnd-5_family-1743   __ClassI_LTR                   False                 177         177
       431         24.1         8.7         8.7  DsilchrX                       30387   30664  C         rnd-6_family-812    __ClassI_nLTR_LINE_R2          True                  278         104
      2172         19.5         6.5         0.4  DsilchrX                       30665   31200  +         rnd-6_family-3066   __ClassI_LTR_Gypsy             False                 536         536
       557         23.9         3.7         1    DsilchrX                       31157   31346  C         rnd-6_family-812    __ClassI_nLTR_LINE_R2          True                  190         146
       405         24.3         7.7         3    DsilchrX                       31213   31433  +         rnd-6_family-7091   __ClassI_LTR_Gypsy             True                  221          87
      1964          7.6         0.4         0.4  DsilchrX                       31612   31885  C         rnd-5_family-1929   DNA/hAT-hAT19                  False                 274         274
       952          9.3         1.9         7.1  DsilchrX                       31886   32047  +         rnd-5_family-1283   DNA/hAT-Tip100                 False                 162         162
       818         11.4         6.2         6.7  DsilchrX                       31892   32070  C         rnd-1_family-297    DNA/hAT-Tip100                 True                  179           6
      1489         13.6         7.9         1.7  DsilchrX                       32054   32169  C         rnd-5_family-1929   DNA/hAT-hAT19                  False                 116         116
      1438          7.1        15.5         0.4  DsilchrX                       32170   32408  C         rnd-1_family-744    __ClassII_DNA_hAT_MITE         False                 239         239
       239         20.6         3.8         7.9  DsilchrX                       32397   32408  +         rnd-6_family-6506   __ClassII_DNA_hAT_nMITE        True                   12           0
       451          7.5         4.5         0    DsilchrX                       32409   32475  C         rnd-1_family-464    __ClassII_DNA_TcMar_MITE       False                  67          67
      2962         12.4         8.1         0    DsilchrX                       32478   32986  +         rnd-5_family-6462   LINE/Penelope                  False                 509         509
      1149          9.9        18.1         1.3  DsilchrX                       32893   33145  +         rnd-1_family-1343   __ClassII_MITE                 True                  253         159
       535         19.3        14.2         5.2  DsilchrX                       33032   33277  C         rnd-6_family-336    __ClassI_LTR_Gypsy             True                  246           0
      1028          7.3         9           1.7  DsilchrX                       33114   33280  C         rnd-1_family-321    __ClassII_MITE                 False                 167         135
       423         10.4        28.1         0    DsilchrX                       33279   33413  C         rnd-5_family-1929   DNA/hAT-hAT19                  True                  135         133
       286         17.2         1.7         0    DsilchrX                       33388   33445  C         rnd-5_family-1099   DNA/hAT-hAT19                  True                   58           0
       307         15.1         1.9         0    DsilchrX                       33397   33449  +         rnd-1_family-557    __ClassII_MITE                 False                  53          36
       299         14.6         0           7.3  DsilchrX                       33809   33867  C         rnd-6_family-11074  __ClassI_LTR_Gypsy             True                   59           8
       387         10.9         6.2         1.5  DsilchrX                       33817   33881  C         rnd-6_family-2177   DNA/TcMar-Tc1                  False                  65          65
       311         22.2         9.1         1.7  DsilchrX                       34286   34395  C         rnd-5_family-1448   DNA/Sola-2                     False                 110         110
       534         23.6         0           0    DsilchrX                       34533   34638  C         rnd-6_family-2139   DNA/CMC-Chapaev-3              False                 106         106
      1368          9.2         0.5         0.5  DsilchrX                       34715   34921  C         rnd-5_family-4088   __ClassII_DNA_hAT_MITE         False                 207         207
       594         13.2         3.2         4    DsilchrX                       34919   35044  +         rnd-4_family-646    __ClassII_DNA_TcMar_MITE       True                  126         123
       270          8.6         0           0    DsilchrX                       35051   35085  C         rnd-6_family-2413   DNA/TcMar-Tigger               True                   35          33
       615          6.6         0           0    DsilchrX                       35084   35159  +         rnd-1_family-34     LINE/RTE-RTE                   False                  76          76
      4474          7.7         8.4         0.8  DsilchrX                       35161   35828  C         rnd-5_family-2255   __ClassII_DNA_hAT_MITE         False                 668         668
      1216          5.7         0           0    DsilchrX                       35834   35992  C         rnd-3_family-239    LINE/RTE-RTE                   False                 159         159
       959          7.3        19.3         0    DsilchrX                       35995   36186  +         rnd-5_family-1556   DNA/hAT-hATm                   False                 192         192
       405          8.5         3.4         0    DsilchrX                       36186   36244  C         rnd-5_family-1556   DNA/hAT-hATm                   True                   59          56
      2043          1.7         0           0    DsilchrX                       36242   36478  C         rnd-3_family-35     LINE/RTE-RTE                   False                 237         237
       558         13.4         0           0    DsilchrX                       36474   36555  C         rnd-1_family-859    LINE/I                         True                   82          77
      2026         32.2         3.7         1.4  DsilchrX                       36629   37722  C         rnd-6_family-2176   DNA                            False                1094        1094
      2936         25.9         1.4         0.7  DsilchrX                       37851   38707  C         rnd-6_family-2176   DNA                            False                 857         857
      8781          4.7         1           1.6  DsilchrX                       38808   40023  C         rnd-6_family-150    DNA/PIF-ISL2EU                 False                1216        1216
       488         17.5        12.1         5    DsilchrX                       40604   40620  C         ltr-1_family-833    LTR/Gypsy                      False                  17          17
       499         22.8         1.8         0    DsilchrX                       40621   40734  +         rnd-5_family-1246   __ClassII_DNA_hAT_nMITE        False                 114         114
       247         17          15.1         4.2  DsilchrX                       41264   41349  +         rnd-5_family-4187   __ClassII_DNA_TcMar_nMITE      False                  86          86
       556         31.7         0           1.5  DsilchrX                       41375   41576  +         rnd-5_family-857    DNA/Merlin                     False                 202         202
      1112          7.4         0.7         0    DsilchrX                       41874   42021  +         rnd-1_family-122    LINE/Penelope                  False                 148         148
       277         17.4        18.5         0    DsilchrX                       42383   42474  +         rnd-4_family-317    __ClassII_DNA_hAT_MITE         True                   92          18
       295         15.8        14.5         0    DsilchrX                       42401   42471  C         rnd-6_family-1830   __ClassII_DNA_hAT_MITE         False                  71          71
       700         24.1         0.6         7    DsilchrX                       42472   42654  C         rnd-4_family-240    DNA/hAT-Charlie                False                 183         183
       654         26.1         0           0    DsilchrX                       42649   42805  +         rnd-4_family-1349   DNA/TcMar-Tc1                  True                  157         151
       379         18.5        16.3         3    DsilchrX                       42890   42912  C         rnd-5_family-1021   __ClassII_MITE                 True                   23           8
       494          4.8         5.8         3.4  DsilchrX                       42898   42983  C         rnd-6_family-4118   __ClassII_nMITE                True                   86          15
      1083          7.2         0           0.7  DsilchrX                       42913   43066  C         rnd-1_family-162    __unknown                      False                 154         154
      4234          9.3         0.8         1.4  DsilchrX                       43078   43711  C         rnd-6_family-3008   __ClassII_DNA_TcMar_MITE       False                 634         634
      7549         10           4.6         0.4  DsilchrX                       43807   44984  C         rnd-6_family-747    DNA/P                          False                1178        1178
       273         27.8         0           0    DsilchrX                       45023   45076  +         rnd-6_family-206    __ClassI                       False                  54          54
      1898          6           0.4         0    DsilchrX                       45174   45408  C         rnd-1_family-311    __ClassI_LTR                   False                 235         235
       290          9.8         0           0    DsilchrX                       45376   45416  +         ltr-1_family-729    LTR/Gypsy                      True                   41           0
       777         13.5         1.4         6.6  DsilchrX                       45391   45533  C         ltr-1_family-793    LTR/ERVK                       True                  143           1
       915          8.9         0           0.8  DsilchrX                       45409   45532  C         rnd-1_family-26     __ClassII_DNA_hAT_MITE         False                 124         124
       890         11.3         2.8         0.7  DsilchrX                       45533   45550  +         rnd-6_family-272    DNA                            False                  18          18
       309         15.3         1.6         3.3  DsilchrX                       45564   45624  +         rnd-6_family-620    __unknown                      False                  61          61
        13          5.2         0           0    DsilchrX                       45750   45769  +         (GTT)n              Simple_repeat                  False                  20          20
      1514         11.8        10.8         3.9  DsilchrX                       46904   47237  C         rnd-5_family-1652   DNA/Merlin                     True                  334         134
      1832         12.4         3.9         2.5  DsilchrX                       47038   47392  +         rnd-6_family-1105   __ClassII_DNA_TcMar_MITE       False                 355         355
       521          7.7        16.9         1.9  DsilchrX                       47304   47467  +         rnd-5_family-2887   __unknown                      True                  164          75
      3358         13.1         9.3         4.8  DsilchrX                       47474   48186  C         rnd-5_family-6860   __unknown                      False                 713         713
      1990         14.3         1.3         1.9  DsilchrX                       48187   48500  +         rnd-5_family-2887   __unknown                      False                 314         314
       353         17.6         3.2         4.3  DsilchrX                       48601   48695  C         rnd-5_family-695    __ClassII_DNA_TcMar_nMITE      False                  95          95
      1014          9.9         7.4         0    DsilchrX                       48731   48892  +         rnd-1_family-624    __ClassII_MITE                 False                 162         162
      2763         10.1        10.9         2.2  DsilchrX                       48907   48959  C         rnd-5_family-2581   __ClassII_DNA_hAT_nMITE        False                  53          53
      2914          9.1         2.9         0.4  DsilchrX                       48960   49402  C         rnd-4_family-1801   __ClassII_DNA_Mutator_nMITE    False                 443         443
       232         17.9         1.8         1.8  DsilchrX                       49386   49442  +         rnd-6_family-1767   LINE/L2                        True                   57           0
       253         15.1         1.9         1.9  DsilchrX                       49400   49453  +         rnd-4_family-933    SINE/B4                        True                   54           5
       404          2.2         0           0    DsilchrX                       49408   49453  +         rnd-1_family-53     __ClassII_nMITE                False                  46          46
      1251         12.7         1.7         4    DsilchrX                       49454   49683  C         rnd-4_family-1801   __ClassII_DNA_Mutator_nMITE    False                 230         230
       377         13.8         7.7         0    DsilchrX                       49454   49472  +         ltr-1_family-19     LTR/Copia                      True                   19           0
       262         10.8         0           0    DsilchrX                       49689   49725  +         rnd-1_family-948    __ClassII_MITE                 True                   37           7
       485         21.8         8.9         1.4  DsilchrX                       49696   49830  C         rnd-5_family-5036   __ClassII_DNA_hAT_MITE         True                  135          71
       557         14           0           0    DsilchrX                       49767   49859  +         rnd-1_family-715    __ClassII_MITE                 True                   93          38
       638         23.3         1.3         7.6  DsilchrX                       49805   50041  +         rnd-5_family-2581   __ClassII_DNA_hAT_nMITE        False                 237         237
      2806          4.3         2.7         8    DsilchrX                       50043   50450  C         rnd-5_family-8546   __ClassII_DNA_TcMar_MITE       False                 408         408
       228         22.4         0           0    DsilchrX                       50458   50506  +         rnd-4_family-1801   __ClassII_DNA_Mutator_nMITE    False                  49          49
       461         26.3         4.5         0.6  DsilchrX                       50520   50676  C         ltr-1_family-956    LTR/Gypsy                      False                 157         157
       391         28.5         4           1.1  DsilchrX                       50524   50697  +         rnd-5_family-1785   __ClassII_DNA_TcMar_MITE       True                  174          21
      1729          7.8         7.3         2.1  DsilchrX                       50890   51157  +         rnd-5_family-13359  __ClassII_MITE                 False                 268         268
      1273          9.8        23.1         0    DsilchrX                       51166   51399  C         rnd-3_family-1749   __ClassI_LTR_BEL               False                 234         234
       712         12.1        14.2         0.6  DsilchrX                       51291   51431  C         rnd-1_family-620    __ClassII_DNA_TcMar_MITE       True                  141           0
      1089          7.5         5.4         0    DsilchrX                       51398   51544  +         rnd-1_family-216    __ClassII_MITE                 False                 147         145
       251         24.8         3.2         9.1  DsilchrX                       51541   51633  C         rnd-5_family-213    __ClassII_MITE                 True                   93          23
       299         14.7         4.3         1.4  DsilchrX                       51568   51636  C         rnd-5_family-2087   __ClassII_nMITE                False                  69          69
       248         19.4         2.9         1.4  DsilchrX                       51647   51714  C         rnd-5_family-392    __ClassII_DNA_hAT_MITE         False                  68          68
       477         17.3         2           1    DsilchrX                       51724   51822  C         rnd-6_family-6345   DNA/hAT-Tag1                   True                   99          95
      2561          9.2         2.2         0.2  DsilchrX                       51819   52220  C         rnd-6_family-6345   DNA/hAT-Tag1                   False                 402         402
       337         24.8         1           1    DsilchrX                       52224   52325  C         rnd-1_family-61     LINE/I                         True                  102          86
      1164         20.4        11.4         3.7  DsilchrX                       52310   52634  +         rnd-6_family-3711   LINE/I                         False                 325         325
       263         30.2         2.8         3.6  DsilchrX                       52326   52364  C         rnd-3_family-356    __ClassI_nLTR                  True                   39           0
      4487          8.9         0.5         0    DsilchrX                       52873   53467  C         rnd-1_family-775    __ClassI_LTR_Gypsy             False                 595         595
     22382          7           1.5         0.6  DsilchrX                       53472   56439  C         rnd-5_family-3840   LTR/Gypsy                      False                2968        2968
      1372          6.6         7.6         0    DsilchrX                       56432   56628  C         rnd-5_family-3840   LTR/Gypsy                      True                  197         189
      4221          5.5         0           0.2  DsilchrX                       56633   57155  C         rnd-1_family-675    __ClassI_LTR_BEL               False                 523         523
      1274          5.6        10.6         0    DsilchrX                       57161   57340  C         rnd-1_family-681    __ClassI_LTR_Gypsy             False                 180         180
      1924          7.3         0.4         0    DsilchrX                       57512   57759  +         rnd-6_family-1070   DNA/hAT-Tag1                   False                 248         248
       879          9.9         3.9         3.2  DsilchrX                       57750   57771  +         rnd-6_family-11739  __ClassII_MITE                 True                   22          12
       975          9.8         0           0.8  DsilchrX                       57772   57905  +         rnd-1_family-24     __ClassII_DNA_hAT_MITE         False                 134         134
      1517          8.7         0           0    DsilchrX                       57908   58113  +         rnd-6_family-1070   DNA/hAT-Tag1                   False                 206         206
       514         25.5         2.8         4.6  DsilchrX                       58114   58290  +         rnd-5_family-1743   __ClassI_LTR                   False                 177         177
       431         24.1         8.7         8.7  DsilchrX                       58117   58394  C         rnd-6_family-812    __ClassI_nLTR_LINE_R2          True                  278         104
      2172         19.5         6.5         0.4  DsilchrX                       58395   58930  +         rnd-6_family-3066   __ClassI_LTR_Gypsy             False                 536         536
       973         25.8         6.3         3.5  DsilchrX                       58887   59409  C         rnd-6_family-812    __ClassI_nLTR_LINE_R2          True                  523         479
      4048          7.5         5.1         0.5  DsilchrX                       59423   60010  +         rnd-6_family-1070   DNA/hAT-Tag1                   False                 588         588
      2973          8.3         1.5         0    DsilchrX                       60016   60410  C         rnd-5_family-1307   DNA/TcMar-Mariner              False                 395         395
      1871          6.9         0           0    DsilchrX                       60417   60662  C         rnd-6_family-3446   __ClassI_LTR                   False                 246         246
       862         10.2         0           0    DsilchrX                       60665   60782  C         rnd-6_family-9859   DNA/TcMar-Mariner              False                 118         118
      8508         11.5         2.1         0.9  DsilchrX                       60785   62107  C         rnd-6_family-8604   DNA/TcMar-Mariner              False                1323        1323
      3189          7.4         0.9         0    DsilchrX                       62108   62524  C         rnd-6_family-9859   DNA/TcMar-Mariner              False                 417         417
      5371          8.6         6           4.6  DsilchrX                       62525   63464  +         rnd-6_family-1070   DNA/hAT-Tag1                   False                 940         940
       756          4.1         0           2.1  DsilchrX                       63491   63589  +         rnd-6_family-967    __ClassII_DNA_Mutator_MITE     False                  99          99
      1748         13           5.3         6.6  DsilchrX                       63594   63930  +         rnd-5_family-2908   DNA/TcMar-Tigger               False                 337         337
       381         22.9         1           4.1  DsilchrX                       63931   64030  +         rnd-1_family-985    __ClassII_MITE                 True                  100          94
       616         14           0           0    DsilchrX                       64025   64114  C         rnd-6_family-3389   DNA/TcMar-Pogo                 False                  90          90
      7203          9.6         2.3         0.5  DsilchrX                       64115   65158  C         rnd-1_family-552    DNA/CMC-Chapaev-3              False                1044        1044
       251         12.2         0           0    DsilchrX                       65145   65157  C         ltr-1_family-989    LTR/Gypsy                      True                   13           0
      6961          3.6         4.4         1.6  DsilchrX                       65158   66108  +         rnd-6_family-2226   DNA/hAT-hATm                   False                 951         951
